pathway	gene
Alzheimer's disease	Fas
Alzheimer's disease	Ndufb11
Alzheimer's disease	Ndufs6
Alzheimer's disease	Cox8a
Alzheimer's disease	Calml3
Alzheimer's disease	Ndufa2
Alzheimer's disease	Cox7c
Alzheimer's disease	Cacna1f
Alzheimer's disease	Aph1a
Alzheimer's disease	Cacna1s
Alzheimer's disease	Cacna1d
Alzheimer's disease	Calm5
Alzheimer's disease	Ndufb4
Alzheimer's disease	Cdk5
Alzheimer's disease	Calm1
Alzheimer's disease	CYTB
Alzheimer's disease	Cacna1c
Alzheimer's disease	Bid
Alzheimer's disease	Il1b
Alzheimer's disease	Ndufb2
Alzheimer's disease	Cox8c
Alzheimer's disease	Mme
Alzheimer's disease	Ndufv1
Alzheimer's disease	Tnf
Alzheimer's disease	Calm2
Alzheimer's disease	Atp5j
Alzheimer's disease	Hsd17b10
Alzheimer's disease	Itpr1
Alzheimer's disease	Ndufa4l2
Alzheimer's disease	Sdhd
Alzheimer's disease	Ndufv3
Alzheimer's disease	Uqcrq
Alzheimer's disease	Plcb2
Alzheimer's disease	Uqcrc2
Alzheimer's disease	Bace2
Alzheimer's disease	Atp5h
Alzheimer's disease	Adam10
Alzheimer's disease	Cox4i2
Alzheimer's disease	Atp5b
Alzheimer's disease	Casp12
Alzheimer's disease	Calm4
Alzheimer's disease	Atp5c1
Alzheimer's disease	Cyct
Alzheimer's disease	Apbb1
Alzheimer's disease	Grin2d
Alzheimer's disease	Cox6b2
Alzheimer's disease	Eif2ak3
Alzheimer's disease	Aph1b
Alzheimer's disease	Ndufs5
Alzheimer's disease	Uqcrfs1
Alzheimer's disease	Ndufab1
Alzheimer's disease	Lpl
Alzheimer's disease	Ndufa10
Alzheimer's disease	Grin2c
Alzheimer's disease	Rtn3
Alzheimer's disease	Aph1c
Alzheimer's disease	Tnfrsf1a
Alzheimer's disease	Sdha
Alzheimer's disease	Atp5e
Alzheimer's disease	Atf6
Alzheimer's disease	Cox6a2
Alzheimer's disease	Ndufs1
Alzheimer's disease	Ppp3ca
Alzheimer's disease	Cox6c
Alzheimer's disease	Ppp3cb
Alzheimer's disease	Atp2a2
Alzheimer's disease	Atp5f1
Alzheimer's disease	Capn2
Alzheimer's disease	Psenen
Alzheimer's disease	Grin1
Alzheimer's disease	Calml4
Alzheimer's disease	Ndufs4
Alzheimer's disease	ATP6
Alzheimer's disease	Ndufa13
Alzheimer's disease	Ppp3cc
Alzheimer's disease	COX1
Alzheimer's disease	Capn1
Alzheimer's disease	Psen2
Alzheimer's disease	Cox8b
Alzheimer's disease	Ndufb6
Alzheimer's disease	Plcb1
Alzheimer's disease	ATP8
Alzheimer's disease	Itpr3
Alzheimer's disease	Gapdh-ps15
Alzheimer's disease	Gapdh
Alzheimer's disease	Ndufc1
Alzheimer's disease	Cox5b
Alzheimer's disease	Ndufb3
Alzheimer's disease	Calm3
Alzheimer's disease	Ndufa12
Alzheimer's disease	Ndufs3
Alzheimer's disease	Mapk1
Alzheimer's disease	Uqcr10
Alzheimer's disease	Ndufs8
Alzheimer's disease	Atp5g1
Alzheimer's disease	Atp2a3
Alzheimer's disease	Grin2b
Alzheimer's disease	Ndufv2
Alzheimer's disease	COX3
Alzheimer's disease	Cox7a2l
Alzheimer's disease	Cyc1
Alzheimer's disease	Ndufb5
Alzheimer's disease	Ndufs7
Alzheimer's disease	Ryr3
Alzheimer's disease	Casp8
Alzheimer's disease	Mapt
Alzheimer's disease	Ndufc2
Alzheimer's disease	Ndufa4
Alzheimer's disease	Ndufa11
Alzheimer's disease	Gsk3b
Alzheimer's disease	Ndufb4c
Alzheimer's disease	Mapk3
Alzheimer's disease	Uqcrc1
Alzheimer's disease	Ndufa3
Alzheimer's disease	Ndufb4b
Alzheimer's disease	Cox4i1
Alzheimer's disease	Casp3
Alzheimer's disease	Ndufa11b
Alzheimer's disease	Ppp3r2
Alzheimer's disease	Ndufa9
Alzheimer's disease	Cox6a1
Alzheimer's disease	Ndufb9
Alzheimer's disease	Itpr2
Alzheimer's disease	COX2
Alzheimer's disease	Cdk5r1
Alzheimer's disease	Atp5o
Alzheimer's disease	Cox7b2
Alzheimer's disease	Cox6b1
Alzheimer's disease	Cox5a
Alzheimer's disease	Uqcr11
Alzheimer's disease	Ncstn
Alzheimer's disease	Ndufa5
Alzheimer's disease	Plcb3
Alzheimer's disease	Lrp1
Alzheimer's disease	Casp9
Alzheimer's disease	Fadd
Alzheimer's disease	Atp5a1
Alzheimer's disease	Ndufs2
Alzheimer's disease	Ern1
Alzheimer's disease	Grin2a
Alzheimer's disease	Nae1
Alzheimer's disease	Sdhc
Alzheimer's disease	Ide
Alzheimer's disease	Cox7a1
Alzheimer's disease	Atp5g3
Alzheimer's disease	Snca
Alzheimer's disease	Sdhb
Alzheimer's disease	Bad
Alzheimer's disease	Adam17
Alzheimer's disease	Ndufa6
Alzheimer's disease	Plcb4
Alzheimer's disease	Cycs
Alzheimer's disease	Ppp3r1
Alzheimer's disease	Casp7
Alzheimer's disease	Atp5d
Alzheimer's disease	Apaf1
Alzheimer's disease	Psen1
Alzheimer's disease	Bace1
Alzheimer's disease	Ndufa8
Alzheimer's disease	Ndufb10
Alzheimer's disease	Nos1
Alzheimer's disease	Ndufa7
Alzheimer's disease	Ndufb8
Alzheimer's disease	Atp2a1
Alzheimer's disease	Gnaq
Alzheimer's disease	Ndufb7
Alzheimer's disease	Uqcrh
Alzheimer's disease	Uqcrb
Alzheimer's disease	App
Amino sugar and nucleotide sugar metabolism	Pmm2
Amino sugar and nucleotide sugar metabolism	Gmppa
Amino sugar and nucleotide sugar metabolism	Gpi1
Amino sugar and nucleotide sugar metabolism	Gck
Amino sugar and nucleotide sugar metabolism	Amdhd2
Amino sugar and nucleotide sugar metabolism	Gnpda1
Amino sugar and nucleotide sugar metabolism	Gmds
Amino sugar and nucleotide sugar metabolism	Gale
Amino sugar and nucleotide sugar metabolism	Gnpda2
Amino sugar and nucleotide sugar metabolism	Hexa
Amino sugar and nucleotide sugar metabolism	Cyb5r3
Amino sugar and nucleotide sugar metabolism	Uap1
Amino sugar and nucleotide sugar metabolism	Cyb5r4
Amino sugar and nucleotide sugar metabolism	Nanp
Amino sugar and nucleotide sugar metabolism	Cyb5rl
Amino sugar and nucleotide sugar metabolism	Hexb
Amino sugar and nucleotide sugar metabolism	Ugp2
Amino sugar and nucleotide sugar metabolism	Chia1
Amino sugar and nucleotide sugar metabolism	Gfpt2
Amino sugar and nucleotide sugar metabolism	Chit1
Amino sugar and nucleotide sugar metabolism	Hkdc1
Amino sugar and nucleotide sugar metabolism	Hk1
Amino sugar and nucleotide sugar metabolism	Nagk
Amino sugar and nucleotide sugar metabolism	Mpi
Amino sugar and nucleotide sugar metabolism	Gfus
Amino sugar and nucleotide sugar metabolism	Tsta3
Amino sugar and nucleotide sugar metabolism	Pgm2
Amino sugar and nucleotide sugar metabolism	Galk1
Amino sugar and nucleotide sugar metabolism	Hk2
Amino sugar and nucleotide sugar metabolism	Hk3
Amino sugar and nucleotide sugar metabolism	Renbp
Amino sugar and nucleotide sugar metabolism	Fpgt
Amino sugar and nucleotide sugar metabolism	Uap1l1
Amino sugar and nucleotide sugar metabolism	Gnpnat1
Amino sugar and nucleotide sugar metabolism	Cmas
Amino sugar and nucleotide sugar metabolism	Ugdh
Amino sugar and nucleotide sugar metabolism	Chil6
Amino sugar and nucleotide sugar metabolism	Gfpt1
Amino sugar and nucleotide sugar metabolism	Nans
Amino sugar and nucleotide sugar metabolism	Gmppb
Amino sugar and nucleotide sugar metabolism	Fcsk
Amino sugar and nucleotide sugar metabolism	Cyb5r2
Amino sugar and nucleotide sugar metabolism	Galt
Amino sugar and nucleotide sugar metabolism	Npl
Amino sugar and nucleotide sugar metabolism	Pgm3
Amino sugar and nucleotide sugar metabolism	Gne
Amino sugar and nucleotide sugar metabolism	Galk2
Amino sugar and nucleotide sugar metabolism	Pmm1
Amino sugar and nucleotide sugar metabolism	Pgm1
Amino sugar and nucleotide sugar metabolism	Uxs1
Amino sugar and nucleotide sugar metabolism	Cmah
Amino sugar and nucleotide sugar metabolism	Cyb5r1
Aminoacyl-tRNA biosynthesis	TrnA
Aminoacyl-tRNA biosynthesis	Mars1
Aminoacyl-tRNA biosynthesis	Kars1
Aminoacyl-tRNA biosynthesis	TrnQ
Aminoacyl-tRNA biosynthesis	Mars
Aminoacyl-tRNA biosynthesis	TrnW
Aminoacyl-tRNA biosynthesis	Nars2
Aminoacyl-tRNA biosynthesis	Vars
Aminoacyl-tRNA biosynthesis	TrnD
Aminoacyl-tRNA biosynthesis	Pars2
Aminoacyl-tRNA biosynthesis	Aars1
Aminoacyl-tRNA biosynthesis	Tars1
Aminoacyl-tRNA biosynthesis	Rars2
Aminoacyl-tRNA biosynthesis	Tars2
Aminoacyl-tRNA biosynthesis	Mtfmt
Aminoacyl-tRNA biosynthesis	Rars
Aminoacyl-tRNA biosynthesis	Qars1
Aminoacyl-tRNA biosynthesis	Wars
Aminoacyl-tRNA biosynthesis	TrnS2
Aminoacyl-tRNA biosynthesis	Gatb
Aminoacyl-tRNA biosynthesis	Pstk
Aminoacyl-tRNA biosynthesis	TrnG
Aminoacyl-tRNA biosynthesis	Nars1
Aminoacyl-tRNA biosynthesis	Yars2
Aminoacyl-tRNA biosynthesis	Aars
Aminoacyl-tRNA biosynthesis	TrnY
Aminoacyl-tRNA biosynthesis	Cars
Aminoacyl-tRNA biosynthesis	Vars1
Aminoacyl-tRNA biosynthesis	Yars1
Aminoacyl-tRNA biosynthesis	Eprs1
Aminoacyl-tRNA biosynthesis	Farsb
Aminoacyl-tRNA biosynthesis	Hars2
Aminoacyl-tRNA biosynthesis	Cars2
Aminoacyl-tRNA biosynthesis	Wars1
Aminoacyl-tRNA biosynthesis	Sars2
Aminoacyl-tRNA biosynthesis	Vars2
Aminoacyl-tRNA biosynthesis	Qrsl1
Aminoacyl-tRNA biosynthesis	TrnL2
Aminoacyl-tRNA biosynthesis	Lars2
Aminoacyl-tRNA biosynthesis	Dars1
Aminoacyl-tRNA biosynthesis	TrnS1
Aminoacyl-tRNA biosynthesis	Sepsecs
Aminoacyl-tRNA biosynthesis	TrnK
Aminoacyl-tRNA biosynthesis	TrnR
Aminoacyl-tRNA biosynthesis	Wars2
Aminoacyl-tRNA biosynthesis	Gatc
Aminoacyl-tRNA biosynthesis	Farsa
Aminoacyl-tRNA biosynthesis	TrnH
Aminoacyl-tRNA biosynthesis	TrnN
Aminoacyl-tRNA biosynthesis	Dars
Aminoacyl-tRNA biosynthesis	Hars
Aminoacyl-tRNA biosynthesis	Tars
Aminoacyl-tRNA biosynthesis	Yars
Aminoacyl-tRNA biosynthesis	Nars
Aminoacyl-tRNA biosynthesis	TrnM
Aminoacyl-tRNA biosynthesis	Mars2
Aminoacyl-tRNA biosynthesis	Eprs
Aminoacyl-tRNA biosynthesis	Hars1
Aminoacyl-tRNA biosynthesis	TrnT
Aminoacyl-tRNA biosynthesis	Cars1
Aminoacyl-tRNA biosynthesis	Rars1
Aminoacyl-tRNA biosynthesis	TrnI
Aminoacyl-tRNA biosynthesis	Lars1
Aminoacyl-tRNA biosynthesis	Sars
Aminoacyl-tRNA biosynthesis	Iars
Aminoacyl-tRNA biosynthesis	Tars3
Aminoacyl-tRNA biosynthesis	TrnF
Aminoacyl-tRNA biosynthesis	Fars2
Aminoacyl-tRNA biosynthesis	Dars2
Aminoacyl-tRNA biosynthesis	TrnL1
Aminoacyl-tRNA biosynthesis	Tarsl2
Aminoacyl-tRNA biosynthesis	Aars2
Aminoacyl-tRNA biosynthesis	Qars
Aminoacyl-tRNA biosynthesis	Iars2
Aminoacyl-tRNA biosynthesis	Sars1
Aminoacyl-tRNA biosynthesis	TrnP
Aminoacyl-tRNA biosynthesis	Lars
Aminoacyl-tRNA biosynthesis	Ears2
Aminoacyl-tRNA biosynthesis	Gars
Aminoacyl-tRNA biosynthesis	TrnE
Aminoacyl-tRNA biosynthesis	TrnV
Aminoacyl-tRNA biosynthesis	Kars
Aminoacyl-tRNA biosynthesis	Iars1
Aminoacyl-tRNA biosynthesis	TrnC
Aminoacyl-tRNA biosynthesis, eukaryotes	Sars
Aminoacyl-tRNA biosynthesis, eukaryotes	Hars
Aminoacyl-tRNA biosynthesis, eukaryotes	Tars
Aminoacyl-tRNA biosynthesis, eukaryotes	Yars
Aminoacyl-tRNA biosynthesis, eukaryotes	Mars
Aminoacyl-tRNA biosynthesis, eukaryotes	Iars
Aminoacyl-tRNA biosynthesis, eukaryotes	Fars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Nars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Vars
Aminoacyl-tRNA biosynthesis, eukaryotes	Nars
Aminoacyl-tRNA biosynthesis, eukaryotes	Farsb
Aminoacyl-tRNA biosynthesis, eukaryotes	Hars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Dars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Pars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Cars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Sars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Rars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Tars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Mars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Rars
Aminoacyl-tRNA biosynthesis, eukaryotes	Tarsl2
Aminoacyl-tRNA biosynthesis, eukaryotes	Vars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Eprs
Aminoacyl-tRNA biosynthesis, eukaryotes	Aars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Wars
Aminoacyl-tRNA biosynthesis, eukaryotes	Lars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Qars
Aminoacyl-tRNA biosynthesis, eukaryotes	Iars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Wars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Yars2
Aminoacyl-tRNA biosynthesis, eukaryotes	Aars
Aminoacyl-tRNA biosynthesis, eukaryotes	Farsa
Aminoacyl-tRNA biosynthesis, eukaryotes	Lars
Aminoacyl-tRNA biosynthesis, eukaryotes	Ears2
Aminoacyl-tRNA biosynthesis, eukaryotes	Gars
Aminoacyl-tRNA biosynthesis, eukaryotes	Cars
Aminoacyl-tRNA biosynthesis, eukaryotes	Kars
Aminoacyl-tRNA biosynthesis, eukaryotes	Dars
AMPK signaling pathway	Foxo3
AMPK signaling pathway	Pfkm
AMPK signaling pathway	Cd36
AMPK signaling pathway	G6pc1
AMPK signaling pathway	Prkaa2
AMPK signaling pathway	Tbc1d1
AMPK signaling pathway	Tsc1
AMPK signaling pathway	Pparg
AMPK signaling pathway	Rptor
AMPK signaling pathway	Adra1a
AMPK signaling pathway	Stradb
AMPK signaling pathway	Irs2
AMPK signaling pathway	Scd4
AMPK signaling pathway	Pck2
AMPK signaling pathway	Pfkfb3
AMPK signaling pathway	Adipoq
AMPK signaling pathway	Ppp2r3a
AMPK signaling pathway	Pfkp
AMPK signaling pathway	Irs1
AMPK signaling pathway	Prkaa1
AMPK signaling pathway	Adipor2
AMPK signaling pathway	Elavl1
AMPK signaling pathway	Stk11
AMPK signaling pathway	Cpt1c
AMPK signaling pathway	Pck1
AMPK signaling pathway	Pfkfb2
AMPK signaling pathway	Camkk2
AMPK signaling pathway	Cab39
AMPK signaling pathway	Cpt1a
AMPK signaling pathway	Srebf1
AMPK signaling pathway	Pik3r2
AMPK signaling pathway	Pik3r1
AMPK signaling pathway	Eef2k
AMPK signaling pathway	Rab10
AMPK signaling pathway	Lipe
AMPK signaling pathway	Rab8a
AMPK signaling pathway	Lepr
AMPK signaling pathway	Scd2
AMPK signaling pathway	Gm2436
AMPK signaling pathway	Fasn
AMPK signaling pathway	Irs3
AMPK signaling pathway	Ppp2r5c
AMPK signaling pathway	Ppp2r5e
AMPK signaling pathway	Foxo1
AMPK signaling pathway	G6pc3
AMPK signaling pathway	Ccna1
AMPK signaling pathway	Pfkfb1
AMPK signaling pathway	Pik3cd
AMPK signaling pathway	Ppp2r5a
AMPK signaling pathway	Sirt1
AMPK signaling pathway	Fbp1
AMPK signaling pathway	Ulk1
AMPK signaling pathway	Gm2446
AMPK signaling pathway	Rheb
AMPK signaling pathway	Ins1
AMPK signaling pathway	G6pc
AMPK signaling pathway	Eef2
AMPK signaling pathway	Prkag2
AMPK signaling pathway	Lep
AMPK signaling pathway	Igf1r
AMPK signaling pathway	Prkag3
AMPK signaling pathway	Adipor1
AMPK signaling pathway	Tsc2
AMPK signaling pathway	Irs4
AMPK signaling pathway	Ccna2
AMPK signaling pathway	Akt2
AMPK signaling pathway	Creb3l4
AMPK signaling pathway	Mtor
AMPK signaling pathway	Creb3l1
AMPK signaling pathway	Scd3
AMPK signaling pathway	Acacb
AMPK signaling pathway	Creb1
AMPK signaling pathway	Ppp2cb
AMPK signaling pathway	Igf1
AMPK signaling pathway	Rab2a
AMPK signaling pathway	Rab11b
AMPK signaling pathway	Slc2a4
AMPK signaling pathway	Hnf4a
AMPK signaling pathway	Acaca
AMPK signaling pathway	Pik3cb
AMPK signaling pathway	Ppp2r2a
AMPK signaling pathway	Ppp2r3d
AMPK signaling pathway	Rab14
AMPK signaling pathway	Ccnd1
AMPK signaling pathway	Eif4ebp1
AMPK signaling pathway	Ppp2r2d
AMPK signaling pathway	Gys1
AMPK signaling pathway	Pik3r3
AMPK signaling pathway	Ppp2ca
AMPK signaling pathway	Rps6kb2
AMPK signaling pathway	Strada
AMPK signaling pathway	Scd1
AMPK signaling pathway	Pdpk1
AMPK signaling pathway	Cidea
AMPK signaling pathway	Ppp2r1b
AMPK signaling pathway	Cpt1b
AMPK signaling pathway	Creb3
AMPK signaling pathway	G6pc2
AMPK signaling pathway	Akt1
AMPK signaling pathway	Gys2
AMPK signaling pathway	Ppp2r3c
AMPK signaling pathway	Prkag1
AMPK signaling pathway	Pfkl
AMPK signaling pathway	Hmgcr
AMPK signaling pathway	Cftr
AMPK signaling pathway	Creb5
AMPK signaling pathway	Map3k7
AMPK signaling pathway	Pfkfb4
AMPK signaling pathway	Insr
AMPK signaling pathway	Prkab2
AMPK signaling pathway	Creb3l2
AMPK signaling pathway	Crtc2
AMPK signaling pathway	Creb3l3
AMPK signaling pathway	Rps6kb1
AMPK signaling pathway	Fbp2
AMPK signaling pathway	Ppp2r1a
AMPK signaling pathway	Akt3
AMPK signaling pathway	Ppp2r2b
AMPK signaling pathway	Prkab1
AMPK signaling pathway	Ppargc1a
AMPK signaling pathway	Cab39l
AMPK signaling pathway	Mlycd
AMPK signaling pathway	Ins2
AMPK signaling pathway	Ppp2r2c
AMPK signaling pathway	Akt1s1
AMPK signaling pathway	Ppp2r5b
AMPK signaling pathway	Ppp2r5d
AMPK signaling pathway	Pik3ca
Amyotrophic lateral sclerosis (ALS)	Grin1
Amyotrophic lateral sclerosis (ALS)	Casp1
Amyotrophic lateral sclerosis (ALS)	Bcl2l1
Amyotrophic lateral sclerosis (ALS)	Nefh
Amyotrophic lateral sclerosis (ALS)	Als2
Amyotrophic lateral sclerosis (ALS)	Bax
Amyotrophic lateral sclerosis (ALS)	Ppp3cc
Amyotrophic lateral sclerosis (ALS)	Prph
Amyotrophic lateral sclerosis (ALS)	Gria1
Amyotrophic lateral sclerosis (ALS)	Map2k6
Amyotrophic lateral sclerosis (ALS)	Daxx
Amyotrophic lateral sclerosis (ALS)	Casp12
Amyotrophic lateral sclerosis (ALS)	Cyct
Amyotrophic lateral sclerosis (ALS)	Map3k5
Amyotrophic lateral sclerosis (ALS)	Grin2d
Amyotrophic lateral sclerosis (ALS)	Casp9
Amyotrophic lateral sclerosis (ALS)	Tomm40
Amyotrophic lateral sclerosis (ALS)	Grin2a
Amyotrophic lateral sclerosis (ALS)	Gria2
Amyotrophic lateral sclerosis (ALS)	Grin2c
Amyotrophic lateral sclerosis (ALS)	Mapk14
Amyotrophic lateral sclerosis (ALS)	Tnfrsf1a
Amyotrophic lateral sclerosis (ALS)	Grin2b
Amyotrophic lateral sclerosis (ALS)	Bad
Amyotrophic lateral sclerosis (ALS)	Ccs
Amyotrophic lateral sclerosis (ALS)	Tnfrsf1b
Amyotrophic lateral sclerosis (ALS)	Rab5a
Amyotrophic lateral sclerosis (ALS)	Bid
Amyotrophic lateral sclerosis (ALS)	Cycs
Amyotrophic lateral sclerosis (ALS)	Ppp3ca
Amyotrophic lateral sclerosis (ALS)	Ppp3r1
Amyotrophic lateral sclerosis (ALS)	Apaf1
Amyotrophic lateral sclerosis (ALS)	Bcl2
Amyotrophic lateral sclerosis (ALS)	Mapk11
Amyotrophic lateral sclerosis (ALS)	Slc1a2
Amyotrophic lateral sclerosis (ALS)	Nefl
Amyotrophic lateral sclerosis (ALS)	Nos1
Amyotrophic lateral sclerosis (ALS)	Rac1
Amyotrophic lateral sclerosis (ALS)	Trp53
Amyotrophic lateral sclerosis (ALS)	Tnf
Amyotrophic lateral sclerosis (ALS)	Tomm40l
Amyotrophic lateral sclerosis (ALS)	Map2k3
Amyotrophic lateral sclerosis (ALS)	Mapk12
Amyotrophic lateral sclerosis (ALS)	Mapk13
Amyotrophic lateral sclerosis (ALS)	Cat
Amyotrophic lateral sclerosis (ALS)	Ppp3cb
Amyotrophic lateral sclerosis (ALS)	Nefm
Amyotrophic lateral sclerosis (ALS)	Casp3
Amyotrophic lateral sclerosis (ALS)	Gpx1
Amyotrophic lateral sclerosis (ALS)	Ppp3r2
Amyotrophic lateral sclerosis (ALS)	Sod1
Amyotrophic lateral sclerosis (ALS)	Derl1
Antigen processing and presentation	H2-Ab1
Antigen processing and presentation	H2-Ob
Antigen processing and presentation	Canx
Antigen processing and presentation	Psme2b
Antigen processing and presentation	H2-Q2
Antigen processing and presentation	Klrc3
Antigen processing and presentation	Hspa1a
Antigen processing and presentation	Cd8b1
Antigen processing and presentation	Hspa1b
Antigen processing and presentation	H2-Ea
Antigen processing and presentation	H2-T24
Antigen processing and presentation	H2-Q6
Antigen processing and presentation	Tap1
Antigen processing and presentation	Klrd1
Antigen processing and presentation	Tapbp
Antigen processing and presentation	Cd8a
Antigen processing and presentation	Kir3dl1
Antigen processing and presentation	Tnf
Antigen processing and presentation	Klrc2
Antigen processing and presentation	Psme1
Antigen processing and presentation	Hspa4
Antigen processing and presentation	H2-T22
Antigen processing and presentation	Nfya
Antigen processing and presentation	H2-Q1
Antigen processing and presentation	H2-M1
Antigen processing and presentation	H2-M10.6
Antigen processing and presentation	H2-T25
Antigen processing and presentation	Pdia3
Antigen processing and presentation	Psme2
Antigen processing and presentation	Gm8909
Antigen processing and presentation	H2-M3
Antigen processing and presentation	H2-T10
Antigen processing and presentation	Calr4
Antigen processing and presentation	H2-M11
Antigen processing and presentation	H2-T23
Antigen processing and presentation	Hspa1l
Antigen processing and presentation	Kir3dl2
Antigen processing and presentation	Ifi30
